ruta | sha256_servidor | sha256_repositorio | MATCH/DIFF
assets/css/nvx-site-layout.min.css | 138736fd2bd28dee21b7412c26e9226f421c10a86dcb6db3b2019ba550badeb6 | 138736fd2bd28dee21b7412c26e9226f421c10a86dcb6db3b2019ba550badeb6 | MATCH
assets/css/nvx-tokens.css | 3a4a0993070472c9d3578d5636d8e0671cb849b04f78770a32052b2b59f6d807 | 3a4a0993070472c9d3578d5636d8e0671cb849b04f78770a32052b2b59f6d807 | MATCH
assets/css/nvx-tokens.min.css | 3a4a0993070472c9d3578d5636d8e0671cb849b04f78770a32052b2b59f6d807 | 3a4a0993070472c9d3578d5636d8e0671cb849b04f78770a32052b2b59f6d807 | MATCH
assets/css/nvx-typography-alignment.css | 0420a22ca8d2a9d914b3c2fe2b239803ffd7a665b63e16cd3abe52206066c232 | 0420a22ca8d2a9d914b3c2fe2b239803ffd7a665b63e16cd3abe52206066c232 | MATCH
assets/css/nvx-typography-alignment.min.css | b0dbdfb7610d12e4ff9d5ae77f5028c97ca21a64bc3eb65db003ce740ad8cbe9 | b0dbdfb7610d12e4ff9d5ae77f5028c97ca21a64bc3eb65db003ce740ad8cbe9 | MATCH
assets/css/nvx-visual-system.css | f8055e9265fa7faa054323080c451af05f8b19725862b2b8baa661cc676c6775 | f8055e9265fa7faa054323080c451af05f8b19725862b2b8baa661cc676c6775 | MATCH
assets/css/nvx-visual-system.min.css | f8055e9265fa7faa054323080c451af05f8b19725862b2b8baa661cc676c6775 | f8055e9265fa7faa054323080c451af05f8b19725862b2b8baa661cc676c6775 | MATCH
assets/images/logo.svg | 35ef4e92dd10bd17bdad2170a2d4cdeb133f143c6251ea1cb0920facc5bb4f02 | 35ef4e92dd10bd17bdad2170a2d4cdeb133f143c6251ea1cb0920facc5bb4f02 | MATCH
assets/js/nvx-brand-system.js | 938ddaa0371100deefe675f3a11dcd8f5ed72299d3fabfb69b9d484a9679c2de | 938ddaa0371100deefe675f3a11dcd8f5ed72299d3fabfb69b9d484a9679c2de | MATCH
assets/js/nvx-main.js | 69372cedfabeca9130454368468c3bea38d630525d8a43b673a2ec12c2a83b3d | 69372cedfabeca9130454368468c3bea38d630525d8a43b673a2ec12c2a83b3d | MATCH
footer.php | 7d3d2ed692730d105198016c3dc8ba8d9879f9d311e7ee77f5949884245b735c | 7d3d2ed692730d105198016c3dc8ba8d9879f9d311e7ee77f5949884245b735c | MATCH
front-page.php | b44a2de00c0f55dc3d6bafedca8202f01f38d8d92fd7ea91e247993e6ab2ba5b | b44a2de00c0f55dc3d6bafedca8202f01f38d8d92fd7ea91e247993e6ab2ba5b | MATCH
functions.php | ce6d006528c36a9a3a6b49847366f06721d420e7863d8243cb61a99285bb9f41 | ce6d006528c36a9a3a6b49847366f06721d420e7863d8243cb61a99285bb9f41 | MATCH
header.php | b8ea881de9464549d44febc136913ae1a76bf8a0013d588e1219aeaa225a0cbd | b8ea881de9464549d44febc136913ae1a76bf8a0013d588e1219aeaa225a0cbd | MATCH
home.php | caf4fb648bdc0552d501d46d93fae687b70280473240cb054c361b94604545b9 | caf4fb648bdc0552d501d46d93fae687b70280473240cb054c361b94604545b9 | MATCH
inc/nvx-integrations.php | f545295caeedd26da0d150c8a4cff34489a327fa141dd50536966fefe50a72e9 | f545295caeedd26da0d150c8a4cff34489a327fa141dd50536966fefe50a72e9 | MATCH
index.php | b06a7ec34913430cf67ce4ef3f7a8b5001dd6e5df28805be5143b6d374f9265c | b06a7ec34913430cf67ce4ef3f7a8b5001dd6e5df28805be5143b6d374f9265c | MATCH
page.php | c76caf3167a8b369b1e388b88d23ef8159df95095f1559201285a1f3b1e95a10 | c76caf3167a8b369b1e388b88d23ef8159df95095f1559201285a1f3b1e95a10 | MATCH
single.php | cfafb91400375771b4c3601996b2992d3b3c625973070ee54d23146934ff9a31 | cfafb91400375771b4c3601996b2992d3b3c625973070ee54d23146934ff9a31 | MATCH
style.css | b0a5d1b5b824d9c795b894e17765d60360d85dd97378294ae44d689460f1338f | b0a5d1b5b824d9c795b894e17765d60360d85dd97378294ae44d689460f1338f | MATCH
template-parts/content/nvx-blog-index.php | 534cb26a4c33a06e9b126ab97ab26d85d83626dfe6a857630a9e0b94c4583f87 | 534cb26a4c33a06e9b126ab97ab26d85d83626dfe6a857630a9e0b94c4583f87 | MATCH
template-parts/content/nvx-page-shell.php | 423c48acdb69901cd25b3104f3a2ede8c9db0032e8bf59c3ad23f59a3def2d5b | 423c48acdb69901cd25b3104f3a2ede8c9db0032e8bf59c3ad23f59a3def2d5b | MATCH
template-parts/footer/site-footer.php | 0346f19f34143c1270d77712f5738231586d6addf48eda70ded7784bb21156c7 | 0346f19f34143c1270d77712f5738231586d6addf48eda70ded7784bb21156c7 | MATCH
template-parts/header/site-header.php | d1a6657a3002ee6b59b355fe25e94754eb145afe8361e2ed13759c136a053ea0 | d1a6657a3002ee6b59b355fe25e94754eb145afe8361e2ed13759c136a053ea0 | MATCH
templates/page-contacto.php | 356bea399d102fafcdc2717f8aa3d47527eae266db43cb702f09a06ebc95927f | 356bea399d102fafcdc2717f8aa3d47527eae266db43cb702f09a06ebc95927f | MATCH
templates/page-landing-valoracion.php | fdc320137a6fd2e07870819eb0c34e33f4d94ff8dd74186736fb3bdae225d204 | fdc320137a6fd2e07870819eb0c34e33f4d94ff8dd74186736fb3bdae225d204 | MATCH
templates/page-sede.php | 355be32b15de590d5a12225ad0486e1db47dddb1e86ae3aeccec39d8d940a639 | 355be32b15de590d5a12225ad0486e1db47dddb1e86ae3aeccec39d8d940a639 | MATCH
templates/page-tratamiento.php | d58e84479895d1921158608bf8f0610cbc95102a10e898187731cdab3f15d4a9 | d58e84479895d1921158608bf8f0610cbc95102a10e898187731cdab3f15d4a9 | MATCH
